,I,II,III
219,0.683,1.059,0.376
220,0.64,1.14,0.5
221,0.53,1.16,0.63
222,0.383,1.183,0.8
223,0.262,1.099,0.838
224,0.172,0.89,0.718
225,0.075,0.685,0.61
226,-0.015,0.529,0.544
227,-0.085,0.401,0.485
228,-0.128,0.28,0.409
229,-0.139,0.187,0.326
230,-0.13,0.13,0.26
231,-0.138,0.067,0.205
232,-0.105,0.039,0.144
233,-0.079,0.028,0.108
234,-0.086,0.011,0.097
235,-0.085,-0.005,0.08
236,-0.083,-0.019,0.064
237,-0.067,-0.016,0.05
238,-0.077,-0.037,0.041
239,-0.103,-0.07,0.033
240,-0.095,-0.07,0.025
241,-0.087,-0.07,0.017
242,-0.077,-0.068,0.009
243,-0.079,-0.078,0.001
244,-0.084,-0.091,-0.007
245,-0.07,-0.08,-0.01
246,-0.064,-0.07,-0.006
247,-0.075,-0.079,-0.004
248,-0.094,-0.101,-0.007
249,-0.099,-0.11,-0.011
250,-0.085,-0.1,-0.015
251,-0.077,-0.096,-0.019
252,-0.069,-0.092,-0.023
253,-0.061,-0.088,-0.027
254,-0.053,-0.084,-0.031
255,-0.045,-0.08,-0.035
256,-0.043,-0.074,-0.031
257,-0.059,-0.088,-0.029
258,-0.062,-0.092,-0.03
259,-0.047,-0.077,-0.03
260,-0.04,-0.07,-0.03
261,-0.032,-0.062,-0.03
262,-0.024,-0.054,-0.03
263,-0.016,-0.046,-0.03
264,-0.007,-0.037,-0.03
265,0.0,-0.03,-0.03
266,-0.008,-0.038,-0.03
267,-0.014,-0.044,-0.03
268,-0.033,-0.063,-0.03
269,-0.052,-0.082,-0.03
270,-0.045,-0.075,-0.03
271,-0.04,-0.07,-0.03
272,-0.04,-0.07,-0.03
273,-0.039,-0.069,-0.03
274,-0.034,-0.064,-0.03
275,-0.03,-0.06,-0.03
276,-0.03,-0.06,-0.03
277,-0.027,-0.057,-0.03
278,-0.023,-0.053,-0.03
279,-0.019,-0.049,-0.03
280,-0.015,-0.045,-0.03
281,-0.015,-0.045,-0.03
282,-0.013,-0.043,-0.029
283,-0.005,-0.037,-0.032
284,0.0,-0.035,-0.035
285,0.0,-0.035,-0.035
286,0.008,-0.031,-0.039
287,0.014,-0.026,-0.04
288,0.017,-0.025,-0.042
289,0.021,-0.024,-0.046
290,0.025,-0.02,-0.045
291,0.02,-0.02,-0.041
292,0.023,-0.017,-0.04
293,0.023,-0.015,-0.038
294,0.021,-0.014,-0.035
295,0.025,-0.01,-0.035
296,0.021,-0.01,-0.031
297,0.023,-0.007,-0.03
298,0.026,-0.005,-0.03
299,0.034,-0.004,-0.038
300,0.055,0.0,-0.055
301,0.06,0.0,-0.06
302,0.063,0.003,-0.06
303,0.065,0.005,-0.06
304,0.067,0.006,-0.061
305,0.075,0.01,-0.065
306,0.074,0.009,-0.065
307,0.086,0.022,-0.064
308,0.103,0.034,-0.068
309,0.112,0.035,-0.077
310,0.115,0.035,-0.08
311,0.115,0.035,-0.08
312,0.115,0.036,-0.079
313,0.114,0.032,-0.082
314,0.127,0.041,-0.085
315,0.15,0.065,-0.085
316,0.134,0.05,-0.085
317,0.166,0.078,-0.088
318,0.199,0.108,-0.091
319,0.194,0.104,-0.09
320,0.195,0.105,-0.09
321,0.2,0.109,-0.09
322,0.197,0.11,-0.087
323,0.196,0.111,-0.084
324,0.201,0.116,-0.085
325,0.2,0.115,-0.085
326,0.195,0.11,-0.085
327,0.238,0.153,-0.085
328,0.264,0.18,-0.085
329,0.253,0.168,-0.085
330,0.255,0.17,-0.085
331,0.252,0.171,-0.081
332,0.246,0.167,-0.08
333,0.245,0.165,-0.08
334,0.245,0.165,-0.08
335,0.245,0.165,-0.08
336,0.251,0.172,-0.08
337,0.27,0.189,-0.081
338,0.287,0.21,-0.077
339,0.316,0.23,-0.086
340,0.365,0.255,-0.11
341,0.381,0.281,-0.099
342,0.373,0.284,-0.088
343,0.357,0.277,-0.079
344,0.342,0.274,-0.068
345,0.33,0.27,-0.06
346,0.314,0.266,-0.048
347,0.302,0.265,-0.037
348,0.299,0.264,-0.036
349,0.301,0.259,-0.042
350,0.3,0.255,-0.045
351,0.288,0.251,-0.037
352,0.278,0.246,-0.031
353,0.273,0.245,-0.028
354,0.268,0.244,-0.024
355,0.255,0.235,-0.02
356,0.243,0.227,-0.016
357,0.231,0.219,-0.012
358,0.219,0.211,-0.008
359,0.208,0.203,-0.005
360,0.2,0.195,-0.005
361,0.192,0.187,-0.005
362,0.181,0.176,-0.005
363,0.169,0.164,-0.005
364,0.156,0.152,-0.004
365,0.14,0.14,0.0
366,0.127,0.128,0.0
367,0.119,0.119,0.0
368,0.111,0.111,0.0
369,0.103,0.103,0.0
370,0.095,0.095,0.0
371,0.087,0.087,0.0
372,0.076,0.079,0.003
373,0.065,0.071,0.006
374,0.058,0.063,0.005
375,0.05,0.055,0.005
376,0.042,0.047,0.005
377,0.035,0.039,0.004
378,0.024,0.031,0.007
379,0.012,0.023,0.01
380,0.005,0.015,0.01
381,0.001,0.011,0.01
382,-0.003,0.007,0.01
383,-0.007,0.003,0.01
384,-0.011,-0.001,0.01
385,-0.015,-0.005,0.01
386,-0.023,-0.009,0.014
387,-0.032,-0.014,0.018
388,-0.037,-0.015,0.022
389,-0.043,-0.016,0.026
390,-0.055,-0.025,0.03
391,-0.059,-0.033,0.026
392,-0.065,-0.041,0.024
393,-0.074,-0.048,0.026
394,-0.074,-0.05,0.024
395,-0.065,-0.045,0.02
396,-0.06,-0.041,0.02
397,-0.059,-0.038,0.021
398,-0.047,-0.029,0.018
399,-0.051,-0.036,0.015
400,-0.085,-0.07,0.015
401,-0.083,-0.068,0.015
402,-0.072,-0.06,0.012
403,-0.07,-0.06,0.009
404,-0.069,-0.059,0.01
405,-0.065,-0.055,0.01
406,-0.061,-0.055,0.006
407,-0.057,-0.053,0.004
408,-0.053,-0.047,0.006
409,-0.049,-0.045,0.004
410,-0.045,-0.045,0.0
411,-0.041,-0.041,0.0
412,-0.04,-0.039,0.001
413,-0.04,-0.042,-0.002
414,-0.04,-0.045,-0.005
415,-0.04,-0.045,-0.005
416,-0.04,-0.045,-0.005
417,-0.042,-0.048,-0.006
418,-0.049,-0.051,-0.001
419,-0.056,-0.05,0.006
420,-0.06,-0.05,0.01
421,-0.072,-0.054,0.018
422,-0.08,-0.055,0.024
423,-0.078,-0.055,0.023
424,-0.075,-0.055,0.019
425,-0.075,-0.055,0.02
426,-0.071,-0.051,0.02
427,-0.066,-0.05,0.017
428,-0.065,-0.05,0.015
429,-0.065,-0.05,0.015
430,-0.065,-0.05,0.015
431,-0.061,-0.046,0.015
432,-0.057,-0.045,0.012
433,-0.055,-0.045,0.009
434,-0.055,-0.045,0.01
435,-0.055,-0.045,0.01
436,-0.051,-0.041,0.01
437,-0.047,-0.04,0.007
438,-0.045,-0.04,0.004
439,-0.045,-0.04,0.005
440,-0.045,-0.04,0.005
441,-0.041,-0.04,0.001
442,-0.037,-0.037,0.0
443,-0.035,-0.034,0.0
444,-0.035,-0.035,0.0
445,-0.035,-0.035,0.0
446,-0.031,-0.035,-0.004
447,-0.027,-0.032,-0.005
448,-0.025,-0.03,-0.005
449,-0.025,-0.03,-0.005
450,-0.025,-0.03,-0.005
451,-0.022,-0.031,-0.009
452,-0.014,-0.024,-0.011
453,-0.04,-0.05,-0.009
454,-0.072,-0.083,-0.011
455,-0.055,-0.07,-0.015
456,-0.05,-0.065,-0.015
457,-0.047,-0.062,-0.015
458,-0.045,-0.058,-0.013
459,-0.045,-0.054,-0.01
460,-0.04,-0.05,-0.01
461,-0.035,-0.045,-0.01
462,-0.038,-0.048,-0.01
463,-0.041,-0.051,-0.01
464,-0.04,-0.05,-0.01
465,-0.04,-0.05,-0.01
466,-0.044,-0.054,-0.01
467,-0.048,-0.055,-0.007
468,-0.051,-0.055,-0.004
469,-0.049,-0.054,-0.005
470,-0.045,-0.05,-0.005
471,-0.045,-0.05,-0.005
472,-0.045,-0.05,-0.005
473,-0.045,-0.05,-0.005
474,-0.045,-0.05,-0.005
475,-0.045,-0.05,-0.005
476,-0.045,-0.046,-0.001
477,-0.045,-0.045,0.0
478,-0.045,-0.045,0.0
479,-0.045,-0.045,0.0
480,-0.045,-0.045,0.0
481,-0.045,-0.045,0.0
482,-0.046,-0.046,0.0
483,-0.043,-0.043,0.0
484,-0.04,-0.04,0.001
485,-0.04,-0.04,0.0
486,-0.029,-0.04,-0.012
487,-0.017,-0.04,-0.023
488,-0.017,-0.04,-0.024
489,-0.02,-0.039,-0.019
490,-0.015,-0.035,-0.02
491,-0.015,-0.035,-0.02
492,-0.015,-0.035,-0.02
493,-0.014,-0.035,-0.02
494,-0.016,-0.035,-0.019
495,-0.02,-0.035,-0.015
496,-0.02,-0.035,-0.015
497,-0.025,-0.04,-0.015
498,-0.052,-0.067,-0.015
499,-0.078,-0.093,-0.015
500,-0.07,-0.085,-0.015
501,-0.065,-0.08,-0.015
502,-0.068,-0.08,-0.012
503,-0.069,-0.079,-0.009
504,-0.064,-0.074,-0.01
505,-0.06,-0.07,-0.01
506,-0.06,-0.07,-0.01
507,-0.06,-0.07,-0.011
508,-0.062,-0.07,-0.008
509,-0.065,-0.07,-0.005
510,-0.065,-0.07,-0.005
511,-0.065,-0.07,-0.005
512,-0.065,-0.07,-0.005
513,-0.065,-0.07,-0.005
514,-0.065,-0.07,-0.005
515,-0.065,-0.07,-0.005
516,-0.061,-0.07,-0.009
517,-0.057,-0.07,-0.013
518,-0.053,-0.07,-0.017
519,-0.049,-0.07,-0.021
520,-0.045,-0.07,-0.025
521,-0.049,-0.07,-0.021
522,-0.051,-0.07,-0.019
523,-0.049,-0.07,-0.021
524,-0.051,-0.07,-0.019
525,-0.055,-0.07,-0.015
526,-0.055,-0.07,-0.015
527,-0.055,-0.07,-0.015
528,-0.055,-0.07,-0.015
529,-0.056,-0.07,-0.014
530,-0.06,-0.07,-0.01
531,-0.06,-0.07,-0.01
532,-0.059,-0.07,-0.011
533,-0.062,-0.07,-0.008
534,-0.065,-0.07,-0.005
535,-0.065,-0.07,-0.005
536,-0.065,-0.07,-0.005
537,-0.065,-0.07,-0.005
538,-0.067,-0.07,-0.003
539,-0.071,-0.07,0.001
540,-0.075,-0.07,0.005
541,-0.079,-0.07,0.009
542,-0.084,-0.07,0.014
543,-0.084,-0.07,0.014
544,-0.079,-0.07,0.009
545,-0.08,-0.07,0.01
546,-0.08,-0.07,0.01
547,-0.081,-0.07,0.011
548,-0.078,-0.07,0.008
549,-0.075,-0.07,0.005
550,-0.075,-0.07,0.005
551,-0.075,-0.07,0.005
552,-0.075,-0.07,0.005
553,-0.075,-0.07,0.005
554,-0.074,-0.07,0.004
555,-0.07,-0.07,0.0
556,-0.07,-0.071,0.0
557,-0.067,-0.067,0.0
558,-0.08,-0.08,0.0
559,-0.095,-0.096,0.0
560,-0.085,-0.085,0.0
561,-0.085,-0.08,0.004
562,-0.082,-0.077,0.005
563,-0.08,-0.073,0.007
564,-0.08,-0.069,0.011
565,-0.075,-0.065,0.01
566,-0.07,-0.061,0.009
567,-0.07,-0.057,0.013
568,-0.068,-0.053,0.015
569,-0.065,-0.049,0.016
570,-0.065,-0.045,0.02
571,-0.061,-0.041,0.02
572,-0.057,-0.037,0.02
573,-0.051,-0.033,0.018
574,-0.043,-0.028,0.015
575,-0.035,-0.02,0.015
576,-0.027,-0.012,0.015
577,-0.019,-0.004,0.015
578,-0.012,0.003,0.015
579,-0.001,0.014,0.015
580,0.02,0.035,0.015
581,0.042,0.057,0.015
582,0.044,0.059,0.015
583,0.037,0.052,0.015
584,0.034,0.049,0.015
585,0.03,0.045,0.015
586,0.026,0.041,0.015
587,0.025,0.04,0.015
588,0.024,0.039,0.015
589,0.018,0.034,0.016
590,0.015,0.03,0.015
591,0.023,0.026,0.003
592,0.027,0.021,-0.006
593,0.036,0.02,-0.016
594,0.047,0.019,-0.027
595,0.05,0.015,-0.035
596,0.058,0.011,-0.047
597,0.066,0.007,-0.059
598,0.059,0.003,-0.056
599,0.041,-0.001,-0.042
600,0.03,-0.005,-0.035
601,0.019,-0.008,-0.027
602,0.0,-0.019,-0.019
603,-0.018,-0.029,-0.011
604,-0.035,-0.038,-0.003
605,-0.055,-0.05,0.005
606,-0.06,-0.058,0.002
607,-0.06,-0.064,-0.004
608,-0.061,-0.065,-0.005
609,-0.059,-0.065,-0.006
610,-0.055,-0.065,-0.01
611,-0.056,-0.065,-0.01
612,-0.05,-0.063,-0.012
613,-0.056,-0.073,-0.018
614,-0.084,-0.104,-0.02
615,-0.11,-0.13,-0.02
616,-0.099,-0.123,-0.024
617,-0.087,-0.113,-0.026
618,-0.083,-0.106,-0.023
619,-0.078,-0.098,-0.02
620,-0.07,-0.09,-0.02
621,-0.062,-0.082,-0.02
622,-0.056,-0.076,-0.02
623,-0.055,-0.075,-0.02
624,-0.055,-0.075,-0.02
625,-0.055,-0.075,-0.02
626,-0.055,-0.075,-0.02
627,-0.053,-0.073,-0.02
628,-0.062,-0.082,-0.02
629,-0.078,-0.098,-0.02
630,-0.08,-0.1,-0.02
631,-0.08,-0.1,-0.02
632,-0.08,-0.1,-0.02
633,-0.08,-0.1,-0.02
634,-0.08,-0.1,-0.02
635,-0.08,-0.1,-0.02
636,-0.082,-0.102,-0.02
637,-0.068,-0.088,-0.02
638,-0.055,-0.075,-0.019
639,-0.038,-0.059,-0.021
640,-0.01,-0.03,-0.02
641,-0.015,-0.005,0.011
642,0.002,0.046,0.044
643,0.038,0.099,0.061
644,0.093,0.169,0.076
645,0.175,0.285,0.11
646,0.236,0.374,0.138
647,0.332,0.465,0.133
648,0.428,0.565,0.137
649,0.506,0.701,0.195
650,0.595,0.89,0.295
651,0.67,1.056,0.386
652,0.677,1.167,0.489
653,0.588,1.188,0.6
654,0.453,1.177,0.723
655,0.345,1.16,0.815
656,0.246,0.992,0.746
657,0.136,0.761,0.625
658,0.029,0.565,0.536
659,-0.053,0.414,0.467
660,-0.11,0.28,0.39
661,-0.151,0.166,0.317
662,-0.152,0.1,0.252
663,-0.141,0.045,0.186
664,-0.139,-0.002,0.137
665,-0.135,-0.01,0.125
666,-0.131,-0.021,0.11
667,-0.123,-0.035,0.088
668,-0.104,-0.042,0.062
669,-0.097,-0.056,0.041
670,-0.115,-0.085,0.03
671,-0.116,-0.094,0.022
672,-0.113,-0.099,0.014
673,-0.105,-0.099,0.006
674,-0.092,-0.094,-0.002
675,-0.085,-0.095,-0.01
676,-0.079,-0.096,-0.017
677,-0.058,-0.092,-0.034
678,-0.049,-0.089,-0.04
679,-0.056,-0.09,-0.034
680,-0.055,-0.09,-0.035
681,-0.057,-0.092,-0.035
682,-0.076,-0.111,-0.035
683,-0.086,-0.121,-0.035
684,-0.078,-0.113,-0.035
685,-0.075,-0.11,-0.035
686,-0.071,-0.106,-0.035
687,-0.067,-0.102,-0.035
688,-0.063,-0.098,-0.035
689,-0.059,-0.094,-0.035
690,-0.055,-0.09,-0.035
691,-0.05,-0.086,-0.035
692,-0.053,-0.085,-0.032
693,-0.056,-0.085,-0.029
694,-0.055,-0.085,-0.03
695,-0.055,-0.085,-0.03
696,-0.055,-0.085,-0.03
697,-0.055,-0.085,-0.03
698,-0.055,-0.085,-0.03
699,-0.055,-0.085,-0.03
700,-0.055,-0.085,-0.03
701,-0.055,-0.085,-0.03
702,-0.055,-0.085,-0.03
703,-0.055,-0.085,-0.03
704,-0.055,-0.085,-0.03
705,-0.055,-0.085,-0.03
706,-0.051,-0.085,-0.034
707,-0.05,-0.085,-0.035
708,-0.05,-0.085,-0.035
709,-0.05,-0.085,-0.035
710,-0.05,-0.085,-0.035
711,-0.05,-0.085,-0.035
712,-0.05,-0.085,-0.035
713,-0.048,-0.083,-0.035
714,-0.044,-0.079,-0.035
715,-0.04,-0.075,-0.035
716,-0.036,-0.071,-0.035
717,-0.032,-0.067,-0.035
718,-0.028,-0.063,-0.035
719,-0.023,-0.059,-0.036
720,-0.015,-0.055,-0.04
721,-0.017,-0.057,-0.04
722,-0.034,-0.074,-0.04
723,-0.037,-0.077,-0.04
724,-0.022,-0.062,-0.04
725,-0.015,-0.055,-0.04
726,-0.003,-0.043,-0.04
727,0.006,-0.034,-0.04
728,0.015,-0.025,-0.04
729,0.028,-0.012,-0.04
730,0.035,-0.005,-0.04
731,0.024,-0.016,-0.04
732,0.011,-0.028,-0.039
733,0.013,-0.029,-0.042
734,0.021,-0.024,-0.045
735,0.02,-0.025,-0.045
736,0.024,-0.025,-0.049
737,0.029,-0.022,-0.051
738,0.029,-0.019,-0.048
739,0.024,-0.02,-0.045
740,0.025,-0.02,-0.045
741,0.029,-0.012,-0.041
742,0.032,-0.006,-0.038
743,0.042,-0.004,-0.046
744,0.067,0.002,-0.065
745,0.09,0.01,-0.08
746,0.091,0.015,-0.076
747,0.091,0.016,-0.074
748,0.103,0.027,-0.075
749,0.118,0.043,-0.075
750,0.125,0.05,-0.075
751,0.128,0.053,-0.075
752,0.139,0.067,-0.072
753,0.149,0.079,-0.069
754,0.15,0.08,-0.07
755,0.15,0.08,-0.07
756,0.154,0.084,-0.07
757,0.155,0.085,-0.07
758,0.158,0.087,-0.07
759,0.159,0.089,-0.069
760,0.155,0.09,-0.065
761,0.178,0.113,-0.065
762,0.2,0.134,-0.065
763,0.208,0.143,-0.065
764,0.21,0.145,-0.065
765,0.21,0.145,-0.065
766,0.206,0.145,-0.061
767,0.203,0.144,-0.06
768,0.21,0.15,-0.06
769,0.232,0.172,-0.06
770,0.265,0.205,-0.06
771,0.284,0.224,-0.06
772,0.284,0.224,-0.06
773,0.291,0.233,-0.058
774,0.3,0.246,-0.054
775,0.29,0.24,-0.05
776,0.286,0.24,-0.046
777,0.282,0.24,-0.042
778,0.278,0.24,-0.038
779,0.274,0.24,-0.034
780,0.27,0.24,-0.03
781,0.266,0.24,-0.026
782,0.264,0.24,-0.025
783,0.266,0.24,-0.026
784,0.264,0.24,-0.024
785,0.26,0.24,-0.02
786,0.261,0.241,-0.02
787,0.253,0.232,-0.021
788,0.237,0.219,-0.018
789,0.221,0.207,-0.015
790,0.21,0.195,-0.015
791,0.203,0.188,-0.015
792,0.185,0.173,-0.012
793,0.168,0.159,-0.009
794,0.157,0.146,-0.01
795,0.14,0.13,-0.01
796,0.124,0.118,-0.006
797,0.111,0.106,-0.004
798,0.099,0.094,-0.006
799,0.087,0.083,-0.004
800,0.075,0.075,0.0
801,0.063,0.063,0.0
802,0.051,0.05,-0.001
803,0.039,0.041,0.002
804,0.028,0.033,0.005
805,0.02,0.025,0.005
806,0.012,0.021,0.009
807,0.003,0.014,0.011
808,-0.002,0.008,0.009
809,-0.008,0.003,0.011
810,-0.02,-0.005,0.015
811,-0.024,-0.009,0.015
812,-0.03,-0.016,0.014
813,-0.041,-0.024,0.017
814,-0.052,-0.032,0.02
815,-0.06,-0.04,0.02
816,-0.068,-0.048,0.02
817,-0.077,-0.054,0.023
818,-0.08,-0.055,0.025
819,-0.081,-0.056,0.025
820,-0.085,-0.06,0.025
821,-0.081,-0.061,0.021
822,-0.077,-0.057,0.02
823,-0.073,-0.055,0.018
824,-0.069,-0.054,0.015
825,-0.065,-0.05,0.015
826,-0.061,-0.05,0.011
827,-0.057,-0.047,0.01
828,-0.053,-0.045,0.008
829,-0.049,-0.044,0.004
830,-0.045,-0.04,0.005
831,-0.046,-0.04,0.006
832,-0.039,-0.037,0.002
833,-0.034,-0.034,0.0
834,-0.035,-0.036,-0.001
835,-0.04,-0.045,-0.005
836,-0.057,-0.062,-0.005
837,-0.058,-0.067,-0.008
838,-0.054,-0.064,-0.01
839,-0.055,-0.065,-0.011
840,-0.05,-0.065,-0.015
841,-0.048,-0.064,-0.016
842,-0.058,-0.072,-0.014
843,-0.054,-0.074,-0.02
844,-0.036,-0.069,-0.033
845,-0.03,-0.07,-0.04
846,-0.034,-0.07,-0.036
847,-0.036,-0.07,-0.034
848,-0.034,-0.07,-0.036
849,-0.036,-0.07,-0.034
850,-0.04,-0.07,-0.03
851,-0.041,-0.07,-0.03
852,-0.037,-0.067,-0.03
853,-0.034,-0.064,-0.03
854,-0.036,-0.065,-0.029
855,-0.04,-0.065,-0.025
856,-0.04,-0.065,-0.025
857,-0.04,-0.065,-0.025
858,-0.04,-0.065,-0.025
859,-0.041,-0.065,-0.024
860,-0.045,-0.065,-0.02
861,-0.041,-0.061,-0.02
862,-0.039,-0.06,-0.021
863,-0.042,-0.06,-0.018
864,-0.045,-0.06,-0.015
865,-0.045,-0.06,-0.015
866,-0.045,-0.06,-0.015
